group,variable,value
1-Jan,Argentina,1
1-Jan,Bolivia,1
1-Jan,Brazil,1
1-Jan,Chile,1
1-Jan,Colombia,1
1-Jan,Ecuador,1
1-Jan,Peru,1
1-Jan,Paraguay,1
1-Jan,Uruguay,1
8-Jan,Argentina,0.76
8-Jan,Bolivia,0.91
8-Jan,Brazil,0.88
8-Jan,Chile,0.73
8-Jan,Colombia,0.68
8-Jan,Ecuador,0.82
8-Jan,Peru,0.84
8-Jan,Paraguay,0.82
8-Jan,Uruguay,0.85
15-Jan,Argentina,0.73
15-Jan,Bolivia,0.81
15-Jan,Brazil,0.84
15-Jan,Chile,0.7
15-Jan,Colombia,0.65
15-Jan,Ecuador,0.8
15-Jan,Peru,0.8
15-Jan,Paraguay,0.82
15-Jan,Uruguay,0.78
22-Jan,Argentina,0.71
22-Jan,Bolivia,0.78
22-Jan,Brazil,0.82
22-Jan,Chile,0.62
22-Jan,Colombia,0.63
22-Jan,Ecuador,0.76
22-Jan,Peru,0.79
22-Jan,Paraguay,0.8
22-Jan,Uruguay,0.78
29-Jan,Argentina,0.7
29-Jan,Bolivia,0.8
29-Jan,Brazil,0.78
29-Jan,Chile,0.61
29-Jan,Colombia,0.64
29-Jan,Ecuador,0.76
29-Jan,Peru,0.76
29-Jan,Paraguay,0.79
29-Jan,Uruguay,0.74
5-Feb,Argentina,0.64
5-Feb,Bolivia,0.72
5-Feb,Brazil,0.76
5-Feb,Chile,0.6
5-Feb,Colombia,0.61
5-Feb,Ecuador,0.74
5-Feb,Peru,0.72
5-Feb,Paraguay,0.79
5-Feb,Uruguay,0.76
12-Feb,Argentina,0.64
12-Feb,Bolivia,0.67
12-Feb,Brazil,0.72
12-Feb,Chile,0.58
12-Feb,Colombia,0.6
12-Feb,Ecuador,0.73
12-Feb,Peru,0.7
12-Feb,Paraguay,0.75
12-Feb,Uruguay,0.74
19-Feb,Argentina,0.62
19-Feb,Bolivia,0.65
19-Feb,Brazil,0.7
19-Feb,Chile,0.59
19-Feb,Colombia,0.6
19-Feb,Ecuador,0.7
19-Feb,Peru,0.68
19-Feb,Paraguay,0.69
19-Feb,Uruguay,0.65
26-Feb,Argentina,0.61
26-Feb,Bolivia,0.66
26-Feb,Brazil,0.68
26-Feb,Chile,0.55
26-Feb,Colombia,0.58
26-Feb,Ecuador,0.7
26-Feb,Peru,0.64
26-Feb,Paraguay,0.65
26-Feb,Uruguay,0.65
5-Mar,Argentina,0.56
5-Mar,Bolivia,0.56
5-Mar,Brazil,0.62
5-Mar,Chile,0.51
5-Mar,Colombia,0.55
5-Mar,Ecuador,0.62
5-Mar,Peru,0.59
5-Mar,Paraguay,0.59
5-Mar,Uruguay,0.57
12-Mar,Argentina,0.55
12-Mar,Bolivia,0.54
12-Mar,Brazil,0.6
12-Mar,Chile,0.51
12-Mar,Colombia,0.55
12-Mar,Ecuador,0.64
12-Mar,Peru,0.58
12-Mar,Paraguay,0.6
12-Mar,Uruguay,0.59
19-Mar,Argentina,0.53
19-Mar,Bolivia,0.55
19-Mar,Brazil,0.6
19-Mar,Chile,0.52
19-Mar,Colombia,0.58
19-Mar,Ecuador,0.64
19-Mar,Peru,0.59
19-Mar,Paraguay,0.57
19-Mar,Uruguay,0.59
26-Mar,Argentina,0.53
26-Mar,Bolivia,0.5
26-Mar,Brazil,0.59
26-Mar,Chile,0.51
26-Mar,Colombia,0.55
26-Mar,Ecuador,0.62
26-Mar,Peru,0.58
26-Mar,Paraguay,0.56
26-Mar,Uruguay,0.6
2-Apr,Argentina,0.52
2-Apr,Bolivia,0.5
2-Apr,Brazil,0.57
2-Apr,Chile,0.49
2-Apr,Colombia,0.55
2-Apr,Ecuador,0.6
2-Apr,Peru,0.57
2-Apr,Paraguay,0.55
2-Apr,Uruguay,0.57
9-Apr,Argentina,0.48
9-Apr,Bolivia,0.46
9-Apr,Brazil,0.57
9-Apr,Chile,0.47
9-Apr,Colombia,0.54
9-Apr,Ecuador,0.6
9-Apr,Peru,0.55
9-Apr,Paraguay,0.49
9-Apr,Uruguay,0.55
16-Apr,Argentina,0.5
16-Apr,Bolivia,0.43
16-Apr,Brazil,0.54
16-Apr,Chile,0.47
16-Apr,Colombia,0.51
16-Apr,Ecuador,0.59
16-Apr,Peru,0.54
16-Apr,Paraguay,0.49
16-Apr,Uruguay,0.54
23-Apr,Argentina,0.48
23-Apr,Bolivia,0.43
23-Apr,Brazil,0.53
23-Apr,Chile,0.45
23-Apr,Colombia,0.52
23-Apr,Ecuador,0.56
23-Apr,Peru,0.54
23-Apr,Paraguay,0.48
23-Apr,Uruguay,0.52
30-Apr,Argentina,0.47
30-Apr,Bolivia,0.4
30-Apr,Brazil,0.48
30-Apr,Chile,0.43
30-Apr,Colombia,0.51
30-Apr,Ecuador,0.54
30-Apr,Peru,0.51
30-Apr,Paraguay,0.44
30-Apr,Uruguay,0.48
7-May,Argentina,0.46
7-May,Bolivia,0.39
7-May,Brazil,0.48
7-May,Chile,0.41
7-May,Colombia,0.49
7-May,Ecuador,0.52
7-May,Peru,0.48
7-May,Paraguay,0.43
7-May,Uruguay,0.46
14-May,Argentina,0.41
14-May,Bolivia,0.37
14-May,Brazil,0.46
14-May,Chile,0.39
14-May,Colombia,0.47
14-May,Ecuador,0.51
14-May,Peru,0.47
14-May,Paraguay,0.36
14-May,Uruguay,0.41
21-May,Argentina,0.4
21-May,Bolivia,0.36
21-May,Brazil,0.46
21-May,Chile,0.38
21-May,Colombia,0.45
21-May,Ecuador,0.48
21-May,Peru,0.47
21-May,Paraguay,0.34
21-May,Uruguay,0.39
28-May,Argentina,0.41
28-May,Bolivia,0.35
28-May,Brazil,0.44
28-May,Chile,0.38
28-May,Colombia,0.47
28-May,Ecuador,0.49
28-May,Peru,0.46
28-May,Paraguay,0.36
28-May,Uruguay,0.41
4-Jun,Argentina,0.39
4-Jun,Bolivia,0.35
4-Jun,Brazil,0.44
4-Jun,Chile,0.39
4-Jun,Colombia,0.44
4-Jun,Ecuador,0.47
4-Jun,Peru,0.45
4-Jun,Paraguay,0.33
4-Jun,Uruguay,0.38
11-Jun,Argentina,0.39
11-Jun,Bolivia,0.33
11-Jun,Brazil,0.41
11-Jun,Chile,0.39
11-Jun,Colombia,0.44
11-Jun,Ecuador,0.47
11-Jun,Peru,0.45
11-Jun,Paraguay,0.32
11-Jun,Uruguay,0.37
18-Jun,Argentina,0.38
18-Jun,Bolivia,0.31
18-Jun,Brazil,0.39
18-Jun,Chile,0.36
18-Jun,Colombia,0.43
18-Jun,Ecuador,0.46
18-Jun,Peru,0.44
18-Jun,Paraguay,0.31
18-Jun,Uruguay,0.36
25-Jun,Argentina,0.36
25-Jun,Bolivia,0.29
25-Jun,Brazil,0.38
25-Jun,Chile,0.34
25-Jun,Colombia,0.42
25-Jun,Ecuador,0.42
25-Jun,Peru,0.41
25-Jun,Paraguay,0.31
25-Jun,Uruguay,0.36
2-Jul,Argentina,0.35
2-Jul,Bolivia,0.26
2-Jul,Brazil,0.38
2-Jul,Chile,0.34
2-Jul,Colombia,0.42
2-Jul,Ecuador,0.41
2-Jul,Peru,0.4
2-Jul,Paraguay,0.28
2-Jul,Uruguay,0.33
9-Jul,Argentina,0.34
9-Jul,Bolivia,0.26
9-Jul,Brazil,0.34
9-Jul,Chile,0.34
9-Jul,Colombia,0.38
9-Jul,Ecuador,0.41
9-Jul,Peru,0.39
9-Jul,Paraguay,0.28
9-Jul,Uruguay,0.32
16-Jul,Argentina,0.34
16-Jul,Bolivia,0.24
16-Jul,Brazil,0.34
16-Jul,Chile,0.33
16-Jul,Colombia,0.37
16-Jul,Ecuador,0.37
16-Jul,Peru,0.38
16-Jul,Paraguay,0.27
16-Jul,Uruguay,0.28
23-Jul,Argentina,0.32
23-Jul,Bolivia,0.22
23-Jul,Brazil,0.31
23-Jul,Chile,0.32
23-Jul,Colombia,0.35
23-Jul,Ecuador,0.34
23-Jul,Peru,0.36
23-Jul,Paraguay,0.25
23-Jul,Uruguay,0.28
30-Jul,Argentina,0.3
30-Jul,Bolivia,0.24
30-Jul,Brazil,0.3
30-Jul,Chile,0.33
30-Jul,Colombia,0.36
30-Jul,Ecuador,0.35
30-Jul,Peru,0.36
30-Jul,Paraguay,0.25
30-Jul,Uruguay,0.28
6-Aug,Argentina,0.3
6-Aug,Bolivia,0.2
6-Aug,Brazil,0.28
6-Aug,Chile,0.31
6-Aug,Colombia,0.38
6-Aug,Ecuador,0.34
6-Aug,Peru,0.34
6-Aug,Paraguay,0.25
6-Aug,Uruguay,0.26
13-Aug,Argentina,0.28
13-Aug,Bolivia,0.2
13-Aug,Brazil,0.28
13-Aug,Chile,0.31
13-Aug,Colombia,0.34
13-Aug,Ecuador,0.35
13-Aug,Peru,0.35
13-Aug,Paraguay,0.21
13-Aug,Uruguay,0.26
20-Aug,Argentina,0.27
20-Aug,Bolivia,0.19
20-Aug,Brazil,0.27
20-Aug,Chile,0.29
20-Aug,Colombia,0.34
20-Aug,Ecuador,0.32
20-Aug,Peru,0.33
20-Aug,Paraguay,0.19
20-Aug,Uruguay,0.23
27-Aug,Argentina,0.26
27-Aug,Bolivia,0.17
27-Aug,Brazil,0.26
27-Aug,Chile,0.28
27-Aug,Colombia,0.33
27-Aug,Ecuador,0.31
27-Aug,Peru,0.32
27-Aug,Paraguay,0.18
27-Aug,Uruguay,0.23
3-Sep,Argentina,0.25
3-Sep,Bolivia,0.17
3-Sep,Brazil,0.24
3-Sep,Chile,0.27
3-Sep,Colombia,0.31
3-Sep,Ecuador,0.3
3-Sep,Peru,0.29
3-Sep,Paraguay,0.2
3-Sep,Uruguay,0.22
10-Sep,Argentina,0.24
10-Sep,Bolivia,0.14
10-Sep,Brazil,0.23
10-Sep,Chile,0.23
10-Sep,Colombia,0.29
10-Sep,Ecuador,0.29
10-Sep,Peru,0.3
10-Sep,Paraguay,0.18
10-Sep,Uruguay,0.19
17-Sep,Argentina,0.24
17-Sep,Bolivia,0.16
17-Sep,Brazil,0.2
17-Sep,Chile,0.21
17-Sep,Colombia,0.32
17-Sep,Ecuador,0.28
17-Sep,Peru,0.28
17-Sep,Paraguay,0.16
17-Sep,Uruguay,0.22
24-Sep,Argentina,0.23
24-Sep,Bolivia,0.15
24-Sep,Brazil,0.19
24-Sep,Chile,0.23
24-Sep,Colombia,0.29
24-Sep,Ecuador,0.28
24-Sep,Peru,0.28
24-Sep,Paraguay,0.16
24-Sep,Uruguay,0.22
1-Oct,Argentina,0.22
1-Oct,Bolivia,0.15
1-Oct,Brazil,0.17
1-Oct,Chile,0.21
1-Oct,Colombia,0.29
1-Oct,Ecuador,0.26
1-Oct,Peru,0.28
1-Oct,Paraguay,0.14
1-Oct,Uruguay,0.2
8-Oct,Argentina,0.23
8-Oct,Bolivia,0.14
8-Oct,Brazil,0.18
8-Oct,Chile,0.22
8-Oct,Colombia,0.29
8-Oct,Ecuador,0.26
8-Oct,Peru,0.27
8-Oct,Paraguay,0.14
8-Oct,Uruguay,0.19
15-Oct,Argentina,0.24
15-Oct,Bolivia,0.11
15-Oct,Brazil,0.19
15-Oct,Chile,0.23
15-Oct,Colombia,0.3
15-Oct,Ecuador,0.24
15-Oct,Peru,0.26
15-Oct,Paraguay,0.14
15-Oct,Uruguay,0.18
22-Oct,Argentina,0.21
22-Oct,Bolivia,0.13
22-Oct,Brazil,0.16
22-Oct,Chile,0.22
22-Oct,Colombia,0.29
22-Oct,Ecuador,0.24
22-Oct,Peru,0.25
22-Oct,Paraguay,0.12
22-Oct,Uruguay,0.16
29-Oct,Argentina,0.21
29-Oct,Bolivia,0.11
29-Oct,Brazil,0.15
29-Oct,Chile,0.2
29-Oct,Colombia,0.28
29-Oct,Ecuador,0.24
29-Oct,Peru,0.26
29-Oct,Paraguay,0.12
29-Oct,Uruguay,0.15
5-Nov,Argentina,0.21
5-Nov,Bolivia,0.1
5-Nov,Brazil,0.14
5-Nov,Chile,0.2
5-Nov,Colombia,0.26
5-Nov,Ecuador,0.23
5-Nov,Peru,0.23
5-Nov,Paraguay,0.11
5-Nov,Uruguay,0.16
12-Nov,Argentina,0.2
12-Nov,Bolivia,0.11
12-Nov,Brazil,0.14
12-Nov,Chile,0.19
12-Nov,Colombia,0.26
12-Nov,Ecuador,0.22
12-Nov,Peru,0.23
12-Nov,Paraguay,0.12
12-Nov,Uruguay,0.16
19-Nov,Argentina,0.19
19-Nov,Bolivia,0.08
19-Nov,Brazil,0.12
19-Nov,Chile,0.18
19-Nov,Colombia,0.24
19-Nov,Ecuador,0.2
19-Nov,Peru,0.23
19-Nov,Paraguay,0.11
19-Nov,Uruguay,0.17
26-Nov,Argentina,0.18
26-Nov,Bolivia,0.08
26-Nov,Brazil,0.11
26-Nov,Chile,0.17
26-Nov,Colombia,0.24
26-Nov,Ecuador,0.21
26-Nov,Peru,0.23
26-Nov,Paraguay,0.1
26-Nov,Uruguay,0.17
3-Dec,Argentina,0.15
3-Dec,Bolivia,0.07
3-Dec,Brazil,0.1
3-Dec,Chile,0.17
3-Dec,Colombia,0.23
3-Dec,Ecuador,0.21
3-Dec,Peru,0.2
3-Dec,Paraguay,0.1
3-Dec,Uruguay,0.15
10-Dec,Argentina,0.17
10-Dec,Bolivia,0.07
10-Dec,Brazil,0.12
10-Dec,Chile,0.18
10-Dec,Colombia,0.24
10-Dec,Ecuador,0.21
10-Dec,Peru,0.2
10-Dec,Paraguay,0.11
10-Dec,Uruguay,0.18
17-Dec,Argentina,0.15
17-Dec,Bolivia,0.07
17-Dec,Brazil,0.11
17-Dec,Chile,0.18
17-Dec,Colombia,0.28
17-Dec,Ecuador,0.21
17-Dec,Peru,0.23
17-Dec,Paraguay,0.11
17-Dec,Uruguay,0.14
24-Dec,Argentina,0.18
24-Dec,Bolivia,0.07
24-Dec,Brazil,0.12
24-Dec,Chile,0.18
24-Dec,Colombia,0.36
24-Dec,Ecuador,0.2
24-Dec,Peru,0.2
24-Dec,Paraguay,0.1
24-Dec,Uruguay,0.18
31-Dec,Argentina,0.2
31-Dec,Bolivia,0.14
31-Dec,Brazil,0.12
31-Dec,Chile,0.24
31-Dec,Colombia,0.38
31-Dec,Ecuador,0.24
31-Dec,Peru,0.24
31-Dec,Paraguay,0.13
31-Dec,Uruguay,0.19
7-Jan,Argentina,0.17
7-Jan,Bolivia,0.07
7-Jan,Brazil,0.1
7-Jan,Chile,0.2
7-Jan,Colombia,0.28
7-Jan,Ecuador,0.21
7-Jan,Peru,0.23
7-Jan,Paraguay,0.13
7-Jan,Uruguay,0.17